A,Fission Yield
66,9.5270752e-08
67,1.9014332e-07
68,2.8571267e-07
69,5.7142540e-07
70,9.5270741e-07
71,1.9014327e-06
72,4.7585602e-06
73,9.5270749e-06
74,1.7142767e-05
75,2.8581223e-05
76,5.7202269e-05
77,9.6515144e-05
78,1.9052160e-04
79,2.9221335e-04
80,4.7640353e-04
81,6.6682556e-04
82,1.1490131e-03
83,2.4687668e-03
84,3.8909296e-03
85,4.4830414e-03
86,5.6848557e-03
87,6.7159313e-03
88,9.1670771e-03
89,1.1868018e-02
90,1.3732347e-02
91,1.7418032e-02
92,2.0922098e-02
93,2.5675813e-02
94,2.7092447e-02
95,3.2795027e-02
96,3.6078082e-02
97,4.2616068e-02
98,4.5905115e-02
99,5.3254292e-02
100,5.4547312e-02
101,5.8442279e-02
102,6.6237896e-02
103,7.0412374e-02
104,6.9203017e-02
105,6.9227571e-02
106,6.1364402e-02
107,5.3572097e-02
108,4.0913107e-02
109,3.7323754e-02
110,2.4129738e-02
111,1.5278286e-02
112,6.4010496e-03
113,2.5074128e-03
114,1.0478189e-03
115,7.3411240e-04
116,3.8606051e-04
117,2.9221342e-04
118,2.7024235e-04
119,2.3163636e-04
120,2.3163637e-04
121,1.9441404e-04
122,3.2702654e-04
123,4.3574666e-04
124,5.4541256e-04
125,1.0319206e-03
126,1.6836744e-03
127,2.6546592e-03
128,4.1184644e-03
129,1.4653965e-02
130,1.9958486e-02
131,3.4680612e-02
132,4.7920999e-02
133,5.9554273e-02
134,6.9719227e-02
135,6.6243062e-02
136,6.5242565e-02
137,6.1100030e-02
138,5.9491704e-02
139,6.6381688e-02
140,5.3850126e-02
141,5.2209129e-02
142,4.4705689e-02
143,4.6169905e-02
144,4.4059133e-02
145,3.3358366e-02
146,2.8670587e-02
147,2.4557327e-02
148,2.1239076e-02
149,1.7118799e-02
150,1.5951559e-02
151,1.2126144e-02
152,1.0193979e-02
153,8.2537519e-03
154,5.4473865e-03
155,3.5948935e-03
156,3.2607984e-03
157,1.5435652e-03
158,8.7149343e-04
159,5.4467589e-04
160,3.8159077e-04
161,2.0059621e-04
162,1.3072102e-04
163,6.5365486e-05
164,2.1791820e-05
165,1.0622141e-05
166,5.4454657e-06
167,2.1801772e-06
168,1.0851110e-06
169,8.7107528e-07
170,4.3603544e-07
171,2.1801772e-07
172,1.0851109e-07
